model,var,r
bias_gpt35_avg,BFI_Agreeableness,-0.3367852152137345
bias_gpt4_avg,BFI_Agreeableness,-0.21361452278934273
bias_gpt35_avg,BFI_Conscientiousness,-0.36942256190739764
bias_gpt4_avg,BFI_Conscientiousness,-0.32136669672046975
bias_gpt35_avg,BFI_Extraversion,-0.29165078070525174
bias_gpt4_avg,BFI_Extraversion,-0.1788737940261811
bias_gpt35_avg,BFI_Neuroticism,0.38787456820746513
bias_gpt4_avg,BFI_Neuroticism,0.3098129078417097
bias_gpt35_avg,BFI_Openness,-0.13647659704099427
bias_gpt4_avg,BFI_Openness,-0.03865465032350689
bias_gpt35_avg,age,0.02469318908034034
bias_gpt4_avg,age,-0.014135115687935667
bias_gpt35_avg,ethnic,-0.0020990897004199436
bias_gpt4_avg,ethnic,-0.007470508811871757
bias_gpt35_avg,m_schl,0.015463311836303456
bias_gpt4_avg,m_schl,0.03368202500684488
bias_gpt35_avg,f_schl,0.00825783064031971
bias_gpt4_avg,f_schl,0.03678716489348732
bias_gpt35_avg,n_sib,-0.01880946319474323
bias_gpt4_avg,n_sib,-0.038325048572531106
bias_gpt35_avg,sex,-0.001298015438174354
bias_gpt4_avg,sex,-0.01630905195947976
bias_gpt35_avg,st_pub,0.03897797027104342
bias_gpt4_avg,st_pub,0.04200813283091534
bias_gpt35_avg,occ_sta,0.10399615940947184
bias_gpt4_avg,occ_sta,0.07119365491476212
bias_gpt35_avg,occ_cat,-0.011162667769328536
bias_gpt4_avg,occ_cat,-0.012298554991101641
bias_gpt35_avg,income,0.018196019651030945
bias_gpt4_avg,income,0.03272090579267164
bias_gpt35_avg,rstat_1,0.005416373817921239
bias_gpt4_avg,rstat_1,-0.0016610741295249353
bias_gpt35_avg,chldrn,0.02835899655948352
bias_gpt4_avg,chldrn,-0.0008709249123952445
