var1,var2,generic_gpt35_r,generic_gpt4_r,silicon_gpt35_r,silicon_gpt4_r,serapiogarcia_r
BFI_Extraversion,PANAS_Positive,0.5495383314020265,0.6390752181080789,0.3912868977002715,0.6591011782486671,0.83
BFI_Extraversion,PANAS_Negative,-0.22482628831783988,-0.25103899030396853,-0.0619144884679225,-0.4324049857035909,-0.59
BFI_Agreeableness,BPAQ_Physical,-0.4222170242722326,-0.6232466066481079,-0.3113108087515051,-0.46321141089485707,-0.88
BFI_Agreeableness,BPAQ_Verbal,-0.3914599253155685,-0.5959062272573764,-0.3556614514070315,-0.3032025394826752,-0.72
BFI_Agreeableness,BPAQ_Anger,-0.620775174429347,-0.653593207182491,-0.08594867260014327,-0.2629095894464792,-0.86
BFI_Agreeableness,BPAQ_Hostility,-0.3744747962661594,-0.641641182811732,-0.040136888233831026,-0.3433225593807653,-0.73
BFI_Neuroticism,PANAS_Positive,-0.6091621088174477,-0.5810269513640589,-0.4054336024923522,-0.35122189321253555,-0.78
BFI_Neuroticism,PANAS_Negative,0.44725841062782684,0.5961785119671236,0.5765909586461067,0.35259002697003644,0.91
BFI_Openness,SSCS_Self-efficacy,0.6029393950229369,0.6318628766784379,0.1866494483521044,0.6889838274734994,0.74
BFI_Openness,SSCS_Personal Identity,0.675821191847173,0.8165440586886136,0.2929856366552275,0.5952212971557691,0.84
